,Model,Label Propagation,Test Accuracy,Train Accuracy,Validation Accuracy
0,SVM Linear Kernel,Label Propagation,0.30633121371302185,0.3184959911528891,0.11534154535274356
1,SVM Poly Kernel,Label Propagation,0.3379872822781311,0.33850566768039814,0.16573348264277715
2,SVM RBF Kernel,Label Propagation,0.33287254630909596,0.33802184130494883,0.15621500559910415
3,SVM sigmoid Kernel,Label Propagation,0.2920928946640863,0.2939590821122477,0.15621500559910415
4,Random Forest,Label Propagation,0.4424937793751728,0.4540710533591374,0.25755879059350506
5,Ada-Boost,Label Propagation,0.44429084876969865,0.4489217583632845,0.3135498320268757
6,KNN,Label Propagation,0.6881393419961294,0.7818288636991982,0.1780515117581187
7,Naive Bayes,Label Propagation,0.33632844899087644,0.350221177771634,0.24972004479283313
8,SVM Linear Kernel,No Propagation,0.3069154399178364,0.3083276275248203,0.11310190369540873
9,SVM Poly Kernel,No Propagation,0.31769941800753165,0.32249229715850736,0.12374020156774916
10,SVM RBF Kernel,No Propagation,0.31051009928106815,0.312435809654228,0.11702127659574468
11,SVM sigmoid Kernel,No Propagation,0.26959945224238274,0.26489216021910306,0.14949608062709965
12,Random Forest,No Propagation,0.47535090722355355,0.4749229715850736,0.1948488241881299
13,Ada-Boost,No Propagation,0.42416980486134886,0.4201044162957891,0.20996640537513997
14,KNN,No Propagation,0.5662444368366998,0.6971499486477234,0.1954087346024636
15,Naive Bayes,No Propagation,0.327627524820267,0.3244608010955152,0.22284434490481522
16,SVM Linear Kernel,Pseudo Labels,0.37369290038525044,0.37049394606494224,0.12094064949608063
17,SVM Poly Kernel,Pseudo Labels,0.3867099322799097,0.39069554176072235,0.1422172452407615
18,SVM RBF Kernel,Pseudo Labels,0.38444351347577155,0.38189498673369643,0.13381858902575589
19,SVM sigmoid Kernel,Pseudo Labels,0.2889174521565267,0.28406169665809766,0.1528555431131019
20,Random Forest,Pseudo Labels,0.5402568922305765,0.5364583333333334,0.2110862262038074
21,Ada-Boost,Pseudo Labels,0.5638678869876641,0.561447141530707,0.22732362821948487
22,KNN,Pseudo Labels,0.7242946918037171,0.7923853456344431,0.19204927211646136
23,Naive Bayes,Pseudo Labels,0.4487609912070344,0.4475619504396483,0.20828667413213886
