,Model,Label Propagation,Test Accuracy,Train Accuracy,Validation Accuracy
0,Random Forest,No Propagation,0.45003594536304814,0.47340043134435655,0.30833333333333335
1,Ada-Boost,No Propagation,0.42774982027318476,0.41966211358734723,0.31366666666666665
2,KNN,No Propagation,0.404744787922358,0.5699137311286844,0.278
3,Naive Bayes,No Propagation,0.33716750539180446,0.32189072609633357,0.2823333333333333
4,Random Forest,Label Propagation,0.4464414090582315,0.4678289000718907,0.307
5,Ada-Boost,Label Propagation,0.4248741912293314,0.4397915168943206,0.29333333333333333
6,KNN,Label Propagation,0.39108554996405465,0.5731488138030194,0.27466666666666667
7,Naive Bayes,Label Propagation,0.3256649892163911,0.3251258087706686,0.22466666666666665
8,KNN,Pseudo Labels,0.5857190973391715,0.6988885146513978,0.284
9,Naive Bayes,Pseudo Labels,0.42236421725239615,0.4172523961661342,0.341
10,Random Forest,Pseudo Labels,0.590890605937373,0.5948556323708825,0.3476666666666667
11,Ada-Boost,Pseudo Labels,0.5750187546886721,0.5837396849212303,0.31666666666666665
12,KNN,Iterative Pseudo Labels 10,0.6206311503223617,0.7175093315235833,0.2806666666666667
13,Naive Bayes,Iterative Pseudo Labels 10,0.4264322916666667,0.42333984375,0.357
14,Random Forest,Iterative Pseudo Labels 10,0.5628287551139685,0.5556691992986558,0.33666666666666667
15,Ada-Boost,Iterative Pseudo Labels 10,0.5171249397009166,0.5391944042450555,0.345
16,KNN,Iterative Pseudo Labels 100,0.6165820642978004,0.7131133671742809,0.284
17,Naive Bayes,Iterative Pseudo Labels 100,0.40545808966861596,0.4280376868096166,0.35233333333333333
18,Random Forest,Iterative Pseudo Labels 100,0.5516778523489932,0.5463087248322148,0.33866666666666667
19,Ada-Boost,Iterative Pseudo Labels 100,0.5177098495875788,0.5323871906841339,0.307
